0 mrad/s	1 mrad/s	2.5 mrad/s	4 mrad/s	5 mrad/s	6 mrad/s	7 mrad/s
9.41	9.41	9.42	9.42	9.42	9.41	9.41
9.41	9.41	9.41	9.42	9.4	9.42	9.42
9.41	9.41	9.41	9.41	9.41	9.41	9.41
9.41	9.42	9.42	9.41	9.41	9.41	9.42
9.36	9.39	9.37	9.4	9.35	9.4	9.39
9.41	9.41	9.41	9.4	9.41	9.41	9.41
9.41	9.41	9.41	9.36	9.24	9.36	9.41
9.41	9.41	9.41	9.41	9.41	9.41	9.41
9.41	9.4	9.41	9.41	9.42	9.42	9.41
9.41	9.41	9.41	9.41	9.41	9.41	9.41
9.4	9.41	9.41	9.41	9.41	9.4	9.41
9.41	9.41	9.4	9.41	9.41	9.4	9.41
9.41	9.37	9.41	9.41	9.41	9.41	9.4
9.4	9.4	9.41	9.41	9.41	9.41	7.72
9.41	9.4	9.42	9.4	9.41	9.41	0.0
9.41	9.41	9.41	9.41	9.41	9.41	7.06
9.41	9.41	9.39	9.41	9.41	9.42	9.41
9.42	9.37	9.41	9.41	9.42	9.39	9.41
9.41	9.41	9.41	9.41	9.41	9.42	9.41
9.41	9.39	9.41	9.41	9.41	9.41	9.41
9.41	9.4	9.41	9.41	9.41	9.42	9.41
9.42	9.42	9.41	9.41	9.42	9.41	9.41
9.41	9.41	9.42	9.41	9.41	9.41	9.41
9.41	9.41	9.42	9.41	9.41	9.41	9.42
9.42	9.4	9.41	9.42	9.41	9.26	9.4
9.41	9.41	9.41	9.42	9.42	9.07	9.42
9.41	9.41	9.42	9.42	9.41	7.7	9.41
9.42	9.41	9.41	9.41	9.42	8.8	9.41
9.41	9.41	9.41	9.39	9.41	8.61	9.41
9.42	9.41	9.41	9.41	9.41	8.89	9.41
9.42	9.41	9.42	9.41	9.42	8.72	6.89
9.41	9.41	9.41	9.41	9.41	8.65	0.0
9.41	9.41	9.42	9.42	9.4	9.02	0.0
9.41	9.41	9.41	9.41	9.41	8.93	1.91
9.41	9.41	9.41	9.41	9.42	8.99	9.41
9.4	9.41	9.4	9.41	9.41	8.65	7.41
9.41	9.41	9.42	9.41	9.42	8.67	9.42
9.41	9.41	9.42	9.42	9.41	7.41	9.41
9.41	9.41	9.41	9.41	9.41	8.71	9.41
9.41	9.41	9.41	9.42	9.42	8.95	9.42
9.41	9.41	9.42	9.42	9.41	8.77	4.14
9.41	9.42	9.41	9.41	9.41	8.51	0.0
9.42	9.42	9.41	9.41	9.42	8.91	7.24
9.41	9.41	9.41	9.42	9.41	8.52	9.41
9.41	9.42	9.42	9.41	9.41	7.98	9.41
9.42	9.4	9.41	9.41	9.42	8.84	9.41
9.42	9.41	9.42	9.41	9.42	8.39	9.41
9.41	9.41	9.4	9.41	9.41	8.18	6.42
9.41	9.41	9.42	9.42	9.41	9.01	6.54
