PARAMS map_range=60 map_step=1
H_Delta V_Delta RSSI
-53 19 2193
-53 20 2066
-53 21 1815
-53 22 1748
-53 23 1821
-53 24 1575
-53 25 1381
-53 26 1242
-53 27 1237
-53 28 1191
-53 29 1098
-53 30 953
-53 31 823
-53 32 689
-53 33 660
-53 34 371
-53 35 472
-53 36 469
-53 37 362
-53 38 301
-53 39 296
-53 40 288
-53 41 230
-53 42 234
-53 43 236
-53 44 240
-53 45 183
-53 46 154
-53 47 125
-53 48 112
-53 49 103
-53 50 91
-53 51 79
-53 52 70
-53 53 57
-53 54 45
-53 55 41
-53 56 39
-53 57 34
-53 58 25
-53 59 24
-53 60 21
-52 -60 39
-52 -59 46
-52 -58 58
-52 -57 73
-52 -56 88
-52 -55 113
-52 -54 136
-52 -53 160
-52 -52 194
-52 -51 227
-52 -50 257
-52 -49 301
-52 -48 374
-52 -47 401
-52 -46 434
-52 -45 500
-52 -44 500
-52 -43 576
-52 -42 648
-52 -41 774
-52 -40 766
-52 -39 804
-52 -38 883
-52 -37 1079
-52 -36 1228
-52 -35 1381
-52 -34 1504
-52 -33 1523
-52 -32 1430
-52 -31 1490
-52 -30 1667
-52 -29 1955
-52 -28 2163
-52 -27 2371
-52 -26 2573
-52 -25 2599
-52 -24 2671
-52 -23 2902
-52 -22 3036
-52 -21 3115
-52 -20 3208
-52 -19 3251
-52 -18 3379
-52 -17 3488
-52 -16 3496
-52 -15 3377
-52 -14 3549
-52 -13 3473
-52 -12 3533
-52 -11 3771
-52 -10 3741
-52 -9 3653
-52 -8 3565
-52 -7 3766
-52 -6 3903
-52 -5 4155
-52 -4 4107
-52 -3 3997
-52 -2 3883
-52 -1 4036
-52 0 4073
-52 1 3922
-52 2 3828
-52 3 3755
-52 4 3581
-52 5 3465
-52 6 3491
-52 7 3618
-52 8 3583
-52 9 3462
-52 10 3266
-52 11 3382
-52 12 3312
-52 13 3249
-52 14 3261
-52 15 2975
-52 16 2825
-52 17 2629
-52 18 2479
-52 19 2318
-52 20 2313
-52 21 2105
-52 22 1961
-52 23 1856
-52 24 1774
-52 25 1530
-52 26 1439
-52 27 1226
-52 28 1041
-52 29 993
-52 30 985
-52 31 912
-52 32 825
-52 33 663
-52 34 730
-52 35 704
-52 36 557
-52 37 494
-52 38 419
-52 39 374
-52 40 328
-52 41 322
-52 42 302
-52 43 281
-52 44 266
-52 45 204
-52 46 172
-52 47 159
-52 48 142
-52 49 124
-52 50 98
-52 51 87
-52 52 61
-52 53 55
-52 54 49
-52 55 50
-52 56 38
-52 57 35
-52 58 34
-52 59 29
-52 60 27
-51 -60 57
-51 -59 65
-51 -58 72
-51 -57 86
-51 -56 119
-51 -55 154
-51 -54 178
-51 -53 187
-51 -52 217
-51 -51 265
-51 -50 354
-51 -49 434
-51 -48 486
-51 -47 469
-51 -46 552
-51 -45 583
-51 -44 663
-51 -43 801
-51 -42 997
-51 -41 1056
-51 -40 1099
-51 -39 1096
-51 -38 1169
-51 -37 1289
-51 -36 1392
-51 -35 1490
-51 -34 1610
-51 -33 1682
-51 -32 2167
-51 -31 2737
-51 -30 2589
-51 -29 2287
-51 -28 2459
-51 -27 2931
-51 -26 2832
-51 -25 3046
-51 -24 3036
-51 -23 3153
-51 -22 3185
-51 -21 3465
-51 -20 3777
-51 -19 3897
-51 -18 3728
-51 -17 3986
-51 -16 3950
-51 -15 3928
-51 -14 3815
-51 -13 4059
-51 -12 3881
-51 -11 3870
-51 -10 3928
-51 -9 4115
-51 -8 4357
-51 -7 4513
-51 -6 4712
-51 -5 4404
-51 -4 4606
-51 -3 4816
-51 -2 4996
-51 -1 5009
-51 0 4844
-51 1 4460
-51 2 3782
-51 3 3856
-51 4 4152
-51 5 4232
-51 6 4152
-51 7 4466
-51 8 4181
-51 9 3969
-51 10 3831
-51 11 3454
-51 12 3408
-51 13 3330
-51 14 3185
-51 15 3100
-51 16 3190
-51 17 2509
-51 18 2425
-51 19 2564
-51 20 2464
-51 21 2126
-51 22 2034
-51 23 2020
-51 24 1963
-51 25 1827
-51 26 1486
-51 27 1366
-51 28 1298
-51 29 1164
-51 30 1118
-51 31 1029
-51 32 849
-51 33 698
-51 34 665
-51 35 675
-51 36 574
-51 37 501
-51 38 423
-51 39 337
-51 40 348
-51 41 349
-51 42 306
-51 43 266
-51 44 257
-51 45 231
-51 46 196
-51 47 185
-51 48 176
-51 49 152
-51 50 128
-51 51 83
-51 52 65
-51 53 58
-51 54 51
-51 55 45
-51 56 40
-51 57 42
-51 58 36
-51 59 32
-51 60 27
-50 -60 50
-50 -59 61
-50 -58 77
-50 -57 92
-50 -56 105
-50 -55 141
-50 -54 167
-50 -53 208
-50 -52 230
-50 -51 307
-50 -50 374
-50 -49 413
-50 -48 441
-50 -47 538
-50 -46 614
-50 -45 635
-50 -44 738
-50 -43 841
-50 -42 905
-50 -41 1012
-50 -40 1131
-50 -39 1159
-50 -38 1246
-50 -37 1278
-50 -36 1366
-50 -35 1584
-50 -34 1690
-50 -33 2009
-50 -32 2210
-50 -31 2329
-50 -30 2311
-50 -29 2511
