PARAMS map_range=60 map_step=1
H_Delta V_Delta RSSI
-30 -53 3058
-29 -53 3208
-28 -53 3602
-27 -53 3621
-26 -53 3733
-25 -53 3809
-24 -53 3831
-23 -53 3986
-22 -53 4279
-21 -53 4416
-20 -53 4597
-19 -53 4612
-18 -53 4754
-17 -53 5178
-16 -53 5133
-15 -53 4797
-14 -53 5056
-13 -53 5229
-12 -53 5142
-11 -53 5219
-10 -53 5190
-9 -53 5304
-8 -53 5271
-7 -53 5458
-6 -53 5612
-5 -53 5806
-4 -53 5979
-3 -53 5941
-2 -53 5983
-1 -53 6199
0 -53 6961
1 -53 6788
2 -53 6621
3 -53 6655
4 -53 6807
5 -53 6883
6 -53 6662
7 -53 6814
8 -53 6632
9 -53 6458
10 -53 6494
11 -53 6085
12 -53 6043
13 -53 5868
14 -53 5840
15 -53 5693
16 -53 5713
17 -53 5336
18 -53 5142
19 -53 4927
20 -53 4678
21 -53 4853
22 -53 4537
23 -53 4442
24 -53 4436
25 -53 4354
26 -53 4025
27 -53 3883
28 -53 3575
29 -53 3364
30 -53 3203
31 -53 3009
32 -53 2813
33 -53 2734
34 -53 2585
35 -53 2676
36 -53 2398
37 -53 2230
38 -53 2068
39 -53 2137
40 -53 1817
41 -53 1561
42 -53 1544
43 -53 1405
44 -53 1242
45 -53 1089
46 -53 967
47 -53 924
48 -53 706
49 -53 639
50 -53 511
51 -53 440
52 -53 348
53 -53 292
54 -53 267
55 -53 276
56 -53 212
57 -53 174
58 -53 146
59 -53 124
60 -53 98
-60 -52 26
-59 -52 30
-58 -52 40
-57 -52 49
-56 -52 65
-55 -52 79
-54 -52 106
-53 -52 133
-52 -52 155
-51 -52 195
-50 -52 266
-49 -52 314
-48 -52 342
-47 -52 369
-46 -52 502
-45 -52 710
-44 -52 749
-43 -52 942
-42 -52 1012
-41 -52 1246
-40 -52 1550
-39 -52 1770
-38 -52 1919
-37 -52 1940
-36 -52 2441
-35 -52 2548
-34 -52 2371
-33 -52 2548
-32 -52 2739
-31 -52 2962
-30 -52 3128
-29 -52 3392
-28 -52 3410
-27 -52 3610
-26 -52 3653
-25 -52 3801
-24 -52 4718
-23 -52 4540
-22 -52 4822
-21 -52 4853
-20 -52 5079
-19 -52 5012
-18 -52 5098
-17 -52 5085
-16 -52 5168
-15 -52 5284
-14 -52 5300
-13 -52 5235
-12 -52 5376
-11 -52 5976
-10 -52 5868
-9 -52 5713
-8 -52 5741
-7 -52 5864
-6 -52 6199
-5 -52 6156
-4 -52 6322
-3 -52 6693
-2 -52 6922
-1 -52 6818
0 -52 6914
1 -52 6636
2 -52 7401
3 -52 7618
4 -52 7556
5 -52 7536
6 -52 7536
7 -52 7228
8 -52 7188
9 -52 7200
10 -52 6945
11 -52 6930
12 -52 7212
13 -52 6629
14 -52 6189
15 -52 6036
16 -52 5775
17 -52 5588
18 -52 5203
19 -52 5287
20 -52 5203
21 -52 5031
22 -52 4828
23 -52 4730
24 -52 4319
25 -52 4319
26 -52 3980
27 -52 3900
28 -52 3613
29 -52 3669
30 -52 3431
31 -52 3277
32 -52 3148
33 -52 3034
34 -52 2926
35 -52 3088
36 -52 2940
37 -52 2732
38 -52 2455
39 -52 2265
40 -52 2158
41 -52 1897
42 -52 1688
43 -52 1594
44 -52 1674
45 -52 1494
46 -52 1253
47 -52 1020
48 -52 837
49 -52 706
50 -52 687
51 -52 584
52 -52 470
53 -52 383
54 -52 302
55 -52 262
56 -52 212
57 -52 202
58 -52 162
59 -52 139
60 -52 121
-60 -51 23
-59 -51 35
-58 -51 49
-57 -51 81
-56 -51 100
-55 -51 99
-54 -51 160
-53 -51 178
-52 -51 219
-51 -51 273
-50 -51 383
-49 -51 395
-48 -51 423
-47 -51 493
-46 -51 630
-45 -51 841
-44 -51 970
-43 -51 1072
-42 -51 1046
-41 -51 1341
-40 -51 1477
-39 -51 1643
-38 -51 1917
-37 -51 2024
-36 -51 2230
-35 -51 2546
-34 -51 2720
-33 -51 3066
-32 -51 3160
-31 -51 3118
-30 -51 3418
-29 -51 3777
-28 -51 3897
-27 -51 4276
-26 -51 4594
-25 -51 4896
-24 -51 4931
-23 -51 4981
-22 -51 5066
-21 -51 5101
-20 -51 5194
-19 -51 5392
-18 -51 5524
-17 -51 5585
-16 -51 5751
-15 -51 5782
-14 -51 5816
-13 -51 5833
-12 -51 6348
-11 -51 6268
-10 -51 6289
-9 -51 6239
-8 -51 6428
-7 -51 6704
-6 -51 6810
-5 -51 6906
-4 -51 7023
-3 -51 6934
-2 -51 7216
-1 -51 7631
0 -51 7998
1 -51 8303
2 -51 7806
3 -51 7768
4 -51 7878
5 -51 7794
6 -51 7532
7 -51 7332
8 -51 7268
9 -51 7200
10 -51 7176
11 -51 7240
12 -51 7188
13 -51 7023
14 -51 7043
15 -51 6860
16 -51 6224
17 -51 5882
18 -51 5844
19 -51 5706
20 -51 5313
21 -51 4903
22 -51 4807
23 -51 4810
24 -51 4516
25 -51 4421
26 -51 4189
27 -51 4028
28 -51 3793
29 -51 3768
30 -51 3693
31 -51 3599
32 -51 3343
33 -51 3058
34 -51 3128
35 -51 3063
36 -51 2741
37 -51 2583
38 -51 2445
39 -51 2369
40 -51 2163
41 -51 1980
42 -51 1742
43 -51 1671
44 -51 1405
45 -51 1379
46 -51 1182
47 -51 1024
48 -51 1014
49 -51 677
50 -51 710
51 -51 644
52 -51 505
53 -51 469
54 -51 402
55 -51 353
56 -51 280
57 -51 253
58 -51 214
59 -51 178
60 -51 134
-60 -50 29
-59 -50 41
-58 -50 50
-57 -50 64
-56 -50 76
-55 -50 103
-54 -50 144
-53 -50 175
-52 -50 201
-51 -50 266
-50 -50 396
-49 -50 484
-48 -50 428
-47 -50 445
-46 -50 620
-45 -50 775
-44 -50 849
-43 -50 1058
-42 -50 1203
-41 -50 1357
-40 -50 1575
-39 -50 1969
-38 -50 1957
-37 -50 2145
-36 -50 2245
-35 -50 2596
-34 -50 2858
-33 -50 3208
-32 -50 3236
-31 -50 3826
-30 -50 4000
-29 -50 4253
-28 -50 4258
-27 -50 4825
-26 -50 4934
-25 -50 5101
-24 -50 5085
-23 -50 5006
-22 -50 5031
-21 -50 5339
-20 -50 5369
-19 -50 5598
-18 -50 5548
-17 -50 5672
-16 -50 5683
-15 -50 5632
-14 -50 5758
-13 -50 5972
-12 -50 6128
-11 -50 6242
-10 -50 6315
-9 -50 6417
-8 -50 6450
-7 -50 6410
-6 -50 6625
-5 -50 6880
-4 -50 6949
-3 -50 7280
-2 -50 7446
-1 -50 7292
0 -50 7660
1 -50 7643
2 -50 7656
3 -50 7832
4 -50 8575
5 -50 8228
6 -50 7946
7 -50 7865
8 -50 7848
9 -50 7706
10 -50 7626
11 -50 7656
12 -50 7312
13 -50 7482
14 -50 7478
15 -50 6868
16 -50 6380
17 -50 6121
18 -50 5997
19 -50 5878
20 -50 5585
21 -50 5531
22 -50 5072
23 -50 4730
24 -50 5069
25 -50 4603
26 -50 4372
27 -50 4147
28 -50 4110
29 -50 4014
30 -50 4110
31 -50 3583
32 -50 3421
33 -50 3246
