time	X	Y	Z
0.701171875	-9.45E-07	4.32E-06	1.10E-06
0.703125	-1.11E-06	4.30E-06	2.16E-06
0.705078125	-1.05E-06	4.01E-06	3.63E-06
0.70703125	-9.44E-07	3.38E-06	3.34E-06
0.708984375	-7.55E-07	2.56E-06	2.80E-06
0.7109375	-4.26E-07	1.62E-06	2.98E-06
0.712890625	-9.79E-08	5.10E-07	1.68E-06
0.71484375	2.97E-07	-5.79E-07	-1.90E-07
0.716796875	8.33E-07	-1.48E-06	-1.27E-06
0.71875	1.29E-06	-2.23E-06	-3.43E-06
0.720703125	1.59E-06	-2.76E-06	-5.79E-06
0.72265625	1.82E-06	-2.91E-06	-6.39E-06
0.724609375	1.90E-06	-2.74E-06	-7.11E-06
0.7265625	1.76E-06	-2.39E-06	-7.95E-06
0.728515625	1.47E-06	-1.80E-06	-6.95E-06
0.73046875	1.02E-06	-1.07E-06	-5.87E-06
0.732421875	4.04E-07	-3.60E-07	-5.34E-06
0.734375	-2.06E-07	2.92E-07	-3.24E-06
0.736328125	-7.31E-07	7.26E-07	-1.13E-06
0.73828125	-1.12E-06	7.87E-07	-1.94E-07
0.740234375	-1.30E-06	5.85E-07	1.48E-06
0.7421875	-1.34E-06	1.75E-07	2.57E-06
0.744140625	-1.31E-06	-5.40E-07	1.81E-06
0.74609375	-1.12E-06	-1.44E-06	1.52E-06
0.748046875	-7.61E-07	-2.34E-06	1.05E-06
0.75	-2.75E-07	-3.20E-06	-1.17E-06
0.751953125	3.15E-07	-3.91E-06	-3.03E-06
0.75390625	9.36E-07	-4.29E-06	-4.23E-06
0.755859375	1.39E-06	-4.40E-06	-6.11E-06
0.7578125	1.63E-06	-4.22E-06	-6.85E-06
0.759765625	1.80E-06	-3.70E-06	-6.12E-06
0.76171875	1.85E-06	-2.97E-06	-6.11E-06
0.763671875	1.71E-06	-2.17E-06	-5.62E-06
0.765625	1.48E-06	-1.30E-06	-3.72E-06
0.767578125	1.14E-06	-4.80E-07	-2.49E-06
0.76953125	6.44E-07	1.52E-07	-1.35E-06
0.771484375	1.56E-07	6.04E-07	6.86E-07
0.7734375	-2.49E-07	7.79E-07	1.55E-06
0.775390625	-6.08E-07	6.18E-07	1.76E-06
0.77734375	-8.56E-07	2.87E-07	2.72E-06
0.779296875	-9.93E-07	-1.48E-07	2.71E-06
0.78125	-1.12E-06	-7.40E-07	1.96E-06
0.783203125	-1.13E-06	-1.32E-06	1.84E-06
0.78515625	-8.89E-07	-1.79E-06	8.57E-07
0.787109375	-6.25E-07	-2.13E-06	-9.37E-07
0.7890625	-4.55E-07	-2.18E-06	-1.69E-06
0.791015625	-2.24E-07	-1.88E-06	-2.16E-06
0.79296875	-2.63E-08	-1.39E-06	-2.68E-06
0.794921875	4.22E-08	-6.65E-07	-2.02E-06
0.796875	1.51E-07	3.42E-07	-1.22E-06
0.798828125	2.04E-07	1.37E-06	-1.02E-06
0.80078125	8.24E-08	2.25E-06	-5.83E-08
0.802734375	8.42E-08	3.02E-06	1.12E-06
0.8046875	2.61E-07	3.55E-06	1.37E-06
0.806640625	4.40E-07	3.75E-06	1.73E-06
0.80859375	7.19E-07	3.68E-06	2.14E-06
0.810546875	1.01E-06	3.24E-06	1.80E-06
