time	P	Y	R
1.12	-3.04E-05	3.24E-06	-5.35E-05
1.124	-3.04E-05	5.70E-06	-3.91E-05
1.128	-3.32E-05	8.20E-06	-5.46E-05
1.132	-4.13E-05	1.46E-05	-8.04E-05
1.136	-3.72E-05	9.39E-06	-6.62E-05
1.14	-2.95E-05	4.11E-06	-6.03E-05
1.144	-2.94E-05	6.69E-06	-6.79E-05
1.148	-3.69E-05	1.64E-06	-8.31E-05
1.152	-4.38E-05	-1.12E-05	-8.28E-05
1.156	-3.45E-05	-1.28E-05	-9.07E-05
1.16	-2.79E-05	-1.02E-05	-9.93E-05
1.164	-3.08E-05	-3.54E-06	-8.36E-05
1.168	-2.72E-05	-8.80E-06	-8.92E-05
1.172	-3.43E-05	-5.95E-06	-8.15E-05
1.176	-3.47E-05	-6.92E-06	-8.61E-05
1.18	-3.60E-05	-1.58E-05	-9.29E-05
1.184	-3.70E-05	-8.93E-06	-5.93E-05
1.188	-4.08E-05	-1.39E-05	-3.80E-05
1.192	-3.89E-05	-1.14E-05	-3.80E-05
1.196	-3.63E-05	-4.56E-06	-5.69E-05
1.2	-3.48E-05	-1.66E-06	-7.29E-05
1.204	-3.11E-05	8.89E-06	-5.10E-05
1.208	-3.15E-05	1.53E-05	-4.10E-05
1.212	-3.80E-05	2.51E-05	-2.48E-05
1.216	-5.06E-05	2.73E-05	-4.73E-05
1.22	-6.26E-05	2.98E-05	-7.19E-05
1.224	-6.37E-05	2.43E-05	-9.68E-05
1.228	-5.63E-05	1.14E-05	-9.26E-05
1.232	-4.53E-05	1.41E-05	-8.20E-05
1.236	-5.19E-05	1.29E-05	-6.85E-05
1.24	-5.95E-05	1.17E-05	-8.53E-05
1.244	-5.25E-05	2.07E-06	-0.0001011706413
1.248	-4.16E-05	-3.36E-06	-0.0001234270617
1.252	-2.45E-05	3.01E-06	-0.0001143842398
1.256	-2.63E-05	1.91E-06	-0.000124266616
1.26	-3.31E-05	6.82E-07	-0.0001228543448
1.264	-4.43E-05	3.11E-06	-0.0001419138289
1.268	-3.52E-05	1.39E-05	-0.0001355788834
1.272	-2.56E-05	2.04E-05	-0.0001316780665
1.276	-3.19E-05	1.94E-05	-0.0001305527237
1.28	-3.05E-05	1.43E-05	-0.0001261840641
1.284	-2.67E-05	8.66E-06	-0.0001305498753
1.288	-2.41E-05	1.49E-05	-0.0001151983813
1.292	-2.26E-05	9.97E-06	-0.0001001472504
1.296	-2.28E-05	1.29E-05	-9.52E-05
1.3	-1.54E-05	7.52E-06	-0.0001042057819
1.304	-7.16E-06	6.11E-06	-0.0001193664814
1.308	-3.24E-06	8.84E-06	-0.0001211958294
1.312	-4.86E-06	1.91E-05	-0.0001256239201
1.316	-5.29E-07	1.38E-05	-0.0001457323899
1.32	9.26E-06	4.61E-06	-0.0001650277817
1.324	9.87E-06	7.32E-06	-0.0001545683529
1.328	1.63E-05	9.87E-06	-0.0001321864435
1.332	1.35E-05	8.64E-06	-0.0001193009134
1.336	1.82E-05	1.46E-05	-0.0001204781814
1.34	1.99E-05	1.69E-05	-0.0001391961302
1.344	2.18E-05	2.30E-05	-0.0001419933692
1.348	2.36E-05	2.52E-05	-0.0001422453217
1.352	3.03E-05	2.76E-05	-0.0001327917065
1.356	5.05E-05	3.33E-05	-0.0001083545114
1.36	3.88E-05	3.59E-05	-0.0001116370784
1.364	3.66E-05	3.81E-05	-0.0001154012616
1.368	4.02E-05	4.40E-05	-0.0001092508108
1.372	4.05E-05	3.84E-05	-0.0001057173556
1.376	4.30E-05	4.09E-05	-9.18E-05
1.38	3.99E-05	3.92E-05	-6.63E-05
1.384	5.13E-05	4.51E-05	-6.27E-05
1.388	3.55E-05	4.81E-05	-6.48E-05
1.392	3.04E-05	4.61E-05	-5.56E-05
1.396	3.22E-05	4.06E-05	-7.11E-05
1.4	2.36E-05	3.88E-05	-6.47E-05
1.404	1.72E-05	4.48E-05	-7.57E-05
1.408	1.31E-05	3.94E-05	-9.92E-05
1.412	1.19E-05	4.17E-05	-9.89E-05
1.416	9.07E-07	4.35E-05	-0.0001225213919
1.42	7.70E-06	4.88E-05	-0.0001289240308
1.424	-1.67E-06	4.34E-05	-0.0001331750793
1.428	9.44E-06	4.92E-05	-0.0001353280464
1.432	1.14E-05	4.85E-05	-0.0001152209273
1.436	1.11E-05	5.45E-05	-0.000133480226
1.44	8.69E-06	5.68E-05	-0.0001264603781
1.444	5.89E-06	4.74E-05	-0.000116753466
1.448	4.32E-06	3.82E-05	-9.17E-05
1.452	1.01E-05	5.17E-05	-7.79E-05
1.456	1.69E-05	3.78E-05	-7.76E-05
1.46	6.95E-06	3.98E-05	-8.33E-05
1.464	-9.49E-07	4.21E-05	-9.18E-05
