Connecting to host 10.0.0.2, port 5201
[  4] local 10.0.0.1 port 34586 connected to 10.0.0.2 port 5201
[  4] 118.00-119.00 sec  1.10 GBytes  9.41 Gbits/sec    0    571 KBytes       
[  4] 119.00-120.00 sec  1.09 GBytes  9.40 Gbits/sec    0    578 KBytes       
[  4] 120.00-121.00 sec  1.09 GBytes  9.40 Gbits/sec    0    675 KBytes       
[  4] 121.00-122.00 sec  1.09 GBytes  9.40 Gbits/sec    0    694 KBytes       
[  4] 122.00-123.00 sec  1.09 GBytes  9.41 Gbits/sec    0    708 KBytes       
[  4] 123.00-124.00 sec  1.10 GBytes  9.42 Gbits/sec    0    708 KBytes       
[  4] 124.00-125.00 sec  1.09 GBytes  9.40 Gbits/sec  156    506 KBytes       
[  4] 125.00-126.00 sec  1.09 GBytes  9.41 Gbits/sec    0    580 KBytes       
[  4] 126.00-127.00 sec  1.10 GBytes  9.41 Gbits/sec    2    570 KBytes       
[  4] 127.00-128.00 sec  1.09 GBytes  9.40 Gbits/sec    0    591 KBytes       
[  4] 128.00-129.00 sec  1.10 GBytes  9.42 Gbits/sec    0    652 KBytes       
[  4] 129.00-130.00 sec   946 MBytes  7.94 Gbits/sec    0    655 KBytes       
[  4] 130.00-131.00 sec  0.00 Bytes  0.00 bits/sec    2   1.41 KBytes       
[  4] 131.00-132.00 sec   814 MBytes  6.83 Gbits/sec  428    717 KBytes       
[  4] 132.00-133.00 sec   434 MBytes  3.64 Gbits/sec  194    635 KBytes       
[  4] 133.00-134.00 sec  1.10 GBytes  9.41 Gbits/sec    0    635 KBytes       
[  4] 134.00-135.00 sec  1.10 GBytes  9.41 Gbits/sec    0    638 KBytes       
[  4] 135.00-136.00 sec  1.09 GBytes  9.41 Gbits/sec    0    679 KBytes       
[  4] 136.00-137.00 sec  1.09 GBytes  9.40 Gbits/sec    0    701 KBytes       
[  4] 137.00-138.00 sec  1.09 GBytes  9.40 Gbits/sec    0    714 KBytes       
[  4] 138.00-139.00 sec  1.10 GBytes  9.42 Gbits/sec    0    718 KBytes       
[  4] 139.00-140.00 sec  1.09 GBytes  9.41 Gbits/sec    0    718 KBytes       
[  4] 140.00-141.00 sec  1.09 GBytes  9.41 Gbits/sec    0    718 KBytes       
[  4] 141.00-142.00 sec  1.05 GBytes  9.05 Gbits/sec    0    718 KBytes       
[  4] 142.00-143.00 sec  0.00 Bytes  0.00 bits/sec    2   1.41 KBytes       
[  4] 143.00-144.00 sec   680 MBytes  5.71 Gbits/sec  488    584 KBytes       
[  4] 144.00-145.00 sec   449 MBytes  3.76 Gbits/sec  132   1.41 KBytes       
[  4] 145.00-146.00 sec   186 MBytes  1.56 Gbits/sec  231    499 KBytes       
[  4] 146.00-147.00 sec  1.09 GBytes  9.41 Gbits/sec    0    588 KBytes       
[  4] 147.00-148.00 sec  1.09 GBytes  9.35 Gbits/sec    0    614 KBytes       
[  4] 148.00-149.00 sec  1.09 GBytes  9.41 Gbits/sec    0    619 KBytes       
[  4] 149.00-150.00 sec   266 MBytes  2.23 Gbits/sec    8   1.41 KBytes       
[  4] 150.00-151.00 sec   371 MBytes  3.12 Gbits/sec  228    837 KBytes       
[  4] 151.00-152.00 sec   736 MBytes  6.17 Gbits/sec  192   1.41 KBytes       
[  4] 152.00-153.00 sec   806 MBytes  6.77 Gbits/sec   70    933 KBytes       
[  4] 153.00-154.00 sec  1.09 GBytes  9.41 Gbits/sec    0   1.10 MBytes       
[  4] 154.00-155.00 sec  1.09 GBytes  9.35 Gbits/sec    0   1.29 MBytes       
[  4] 155.00-156.00 sec  1.10 GBytes  9.41 Gbits/sec    0   1.29 MBytes       
[  4] 156.00-157.00 sec  1.09 GBytes  9.41 Gbits/sec    0   1.29 MBytes       
[  4] 157.00-158.00 sec  1.09 GBytes  9.39 Gbits/sec    0   1.50 MBytes       
[  4] 158.00-159.00 sec  1.02 GBytes  8.76 Gbits/sec    0   1.50 MBytes       
[  4] 159.00-160.00 sec  0.00 Bytes  0.00 bits/sec    2   1.41 KBytes       
[  4] 160.00-161.00 sec   718 MBytes  6.02 Gbits/sec  1068    850 KBytes       
[  4] 161.00-162.00 sec  1.09 GBytes  9.40 Gbits/sec   61    638 KBytes       
[  4] 162.00-163.00 sec  1.09 GBytes  9.40 Gbits/sec    0    675 KBytes       
[  4] 163.00-164.00 sec  1.09 GBytes  9.41 Gbits/sec    0    707 KBytes       
[  4] 164.00-165.00 sec  1.09 GBytes  9.40 Gbits/sec    0    714 KBytes       
[  4] 165.00-166.00 sec  1.09 GBytes  9.41 Gbits/sec    0    720 KBytes       
[  4] 166.00-167.00 sec  1.09 GBytes  9.41 Gbits/sec    0    723 KBytes       
[  4] 167.00-168.00 sec  1.10 GBytes  9.42 Gbits/sec    0    723 KBytes       
[  4] 168.00-169.00 sec   686 MBytes  5.75 Gbits/sec    1   1.41 KBytes       
[  4] 169.00-170.00 sec  0.00 Bytes  0.00 bits/sec    1   1.41 KBytes       
[  4] 170.00-171.00 sec  1.05 GBytes  8.99 Gbits/sec  459    601 KBytes       
[  4] 171.00-172.00 sec  1.09 GBytes  9.41 Gbits/sec    0    601 KBytes       
[  4] 172.00-173.00 sec  1.10 GBytes  9.41 Gbits/sec    2    540 KBytes       
[  4] 173.00-174.00 sec  1.09 GBytes  9.41 Gbits/sec    0    540 KBytes       
[  4] 174.00-175.00 sec  1.09 GBytes  9.39 Gbits/sec    0    646 KBytes       
[  4] 175.00-176.00 sec  1.09 GBytes  9.37 Gbits/sec  168    467 KBytes       
[  4] 176.00-177.00 sec  1.10 GBytes  9.41 Gbits/sec    0    563 KBytes       
[  4] 177.00-178.00 sec  1.09 GBytes  9.41 Gbits/sec    0    564 KBytes       
[  4] 178.00-179.00 sec  1.09 GBytes  9.41 Gbits/sec    0    660 KBytes       
[  4] 179.00-180.00 sec  1.09 GBytes  9.40 Gbits/sec    0    660 KBytes       
[  4] 180.00-181.00 sec  1.10 GBytes  9.41 Gbits/sec    2    547 KBytes       
[  4] 181.00-182.00 sec  1.09 GBytes  9.41 Gbits/sec    2    595 KBytes       
[  4] 182.00-183.00 sec  1.10 GBytes  9.41 Gbits/sec    0    595 KBytes       
[  4] 183.00-184.00 sec   201 MBytes  1.69 Gbits/sec   57   1.41 KBytes       
[  4] 184.00-185.00 sec   421 MBytes  3.53 Gbits/sec  142    583 KBytes       
[  4] 185.00-186.00 sec  1.08 GBytes  9.32 Gbits/sec  108    653 KBytes       
[  4] 186.00-187.00 sec  1.09 GBytes  9.41 Gbits/sec    0    653 KBytes       
[  4] 187.00-188.00 sec  1.10 GBytes  9.42 Gbits/sec    0    653 KBytes       
[  4] 188.00-189.00 sec  1.09 GBytes  9.40 Gbits/sec  165    578 KBytes       
[  4] 189.00-190.00 sec  1.10 GBytes  9.41 Gbits/sec    0    585 KBytes       
[  4] 190.00-191.00 sec  1.09 GBytes  9.41 Gbits/sec    0    656 KBytes       
[  4] 191.00-192.00 sec  1.10 GBytes  9.42 Gbits/sec    0    656 KBytes       
[  4] 192.00-193.00 sec  1.10 GBytes  9.41 Gbits/sec    0    656 KBytes       
[  4] 193.00-194.00 sec  1.09 GBytes  9.41 Gbits/sec    0    656 KBytes       
[  4] 194.00-195.00 sec  1.09 GBytes  9.38 Gbits/sec  239    639 KBytes       
[  4] 195.00-196.00 sec   885 MBytes  7.43 Gbits/sec  193    868 KBytes       
[  4] 196.00-197.00 sec  1.09 GBytes  9.40 Gbits/sec    0    911 KBytes       
[  4] 197.00-198.00 sec   809 MBytes  6.79 Gbits/sec  142   1.41 KBytes       
[  4] 198.00-199.00 sec  0.00 Bytes  0.00 bits/sec    1   1.41 KBytes       
[  4] 199.00-200.00 sec   949 MBytes  7.96 Gbits/sec  232    677 KBytes       
[  4] 200.00-201.00 sec   376 MBytes  3.16 Gbits/sec  416    701 KBytes       
[  4] 201.00-202.00 sec  1.09 GBytes  9.41 Gbits/sec    0    912 KBytes       
