Connecting to host 10.0.0.2, port 5201
[  4] local 10.0.0.1 port 34586 connected to 10.0.0.2 port 5201
[  4] 586.00-587.00 sec  1.10 GBytes  9.41 Gbits/sec    0    858 KBytes       
[  4] 587.00-588.00 sec  1.09 GBytes  9.41 Gbits/sec    0    858 KBytes       
[  4] 588.00-589.00 sec  1.09 GBytes  9.41 Gbits/sec    0    858 KBytes       
[  4] 589.00-590.00 sec  1.10 GBytes  9.42 Gbits/sec    0    858 KBytes       
[  4] 590.00-591.00 sec   375 MBytes  3.14 Gbits/sec    2   1.41 KBytes       
[  4] 591.00-592.00 sec   266 MBytes  2.23 Gbits/sec  521    510 KBytes       
[  4] 592.00-593.00 sec   846 MBytes  7.10 Gbits/sec    1   1.41 KBytes       
[  4] 593.00-594.00 sec  0.00 Bytes  0.00 bits/sec    1   1.41 KBytes       
[  4] 594.00-595.00 sec  0.00 Bytes  0.00 bits/sec    1    465 KBytes       
[  4] 595.00-596.00 sec  0.00 Bytes  0.00 bits/sec    0    465 KBytes       
[  4] 596.00-597.00 sec   944 MBytes  7.92 Gbits/sec  444    761 KBytes       
[  4] 597.00-598.00 sec  1.09 GBytes  9.41 Gbits/sec  100    642 KBytes       
[  4] 598.00-599.00 sec  1.09 GBytes  9.41 Gbits/sec    0    642 KBytes       
[  4] 599.00-600.00 sec  1.10 GBytes  9.41 Gbits/sec    0    642 KBytes       
- - - - - - - - - - - - - - - - - - - - - - - - -
[ ID] Interval           Transfer     Bandwidth       Retr
[  4]   0.00-600.00 sec   524 GBytes  7.50 Gbits/sec  33406             sender
[  4]   0.00-600.00 sec   524 GBytes  7.50 Gbits/sec                  receiver

iperf Done.
